# 官方图片 bsuc-lines-normal-img-3；专业|地区|科类|最低分|平均分|最低分位次|录取人数
数学与应用数学|百色市那坡县|物理|550|559|34137|3
数学与应用数学|百色市田东县|物理|550|552|34137|3
数学与应用数学|梧州市藤县|物理|547|558|35927|4
物理学|桂林市龙胜各族自治县|物理|577|577|19854|1
物理学|桂林市平乐县|物理|570|577|23123|2
物理学|梧州市蒙山县|物理|547|550|35927|2
物理学|梧州市藤县|物理|545|550|37207|4
物理学|百色市那坡县|物理|568|568|24113|1
物理学|百色市田东县|物理|556|562|30664|4
物理学|来宾市金秀瑶族自治县|物理|559|559|28927|1
英语|百色市田东县|物理|551|551|33560|2
英语|百色市那坡县|物理|551|551|33560|1
英语|梧州市藤县|物理|552|556|32986|2
英语|百色市田东县|历史|555|556|5604|2
英语|百色市那坡县|历史|555|555|5604|1
英语|梧州市藤县|历史|554|555|5733|2
