# 官方图片 bsuc-lines-normal-img-4；逐行人工核读，列：专业|科类|最低分|平均分|最低分位次|录取人数
国际经济与贸易|历史|479|482|21015|3
小学教育|历史|468|470|24187|7
汉语言文学（师范）|历史|473|481|22728|14
汉语言文学|历史|470|480|23593|24
汉语国际教育|历史|456|461|27971|23
英语|历史|466|469|24749|6
泰语|历史|457|465|27641|32
越南语|历史|458|461|27306|34
新闻学|历史|461|464|26314|6
市场营销|历史|456|459|27971|26
财务管理|历史|466|471|24749|12
农林经济管理|历史|460|464|26628|5
跨境电子商务|历史|456|461|27971|28
旅游管理|历史|456|461|27971|9
酒店管理|历史|455|460|28327|9
地理科学|历史|456|462|27971|36
人文地理与城乡规划|历史|455|462|28327|8
历史学|历史|459|464|26954|69
思想政治教育|历史|468|474|24187|61
国际经济与贸易|物理|456|457|102269|2
小学教育|物理|451|456|106467|7
汉语言文学（师范）|物理|467|477|93265|13
汉语言文学|物理|451|464|106467|23
英语|物理|456|459|102269|6
新闻学|物理|448|451|108959|5
市场营销|物理|443|448|113068|26
财务管理|物理|448|456|108959|12
农林经济管理|物理|444|448|112211|5
跨境电子商务|物理|442|446|113879|27
旅游管理|物理|442|444|113879|9
酒店管理|物理|442|448|113879|10
地理科学|物理|445|454|111396|35
人文地理与城乡规划|物理|443|444|113068|8
工程管理|物理|442|447|113879|20
数学与应用数学|物理|449|460|108121|111
物理学|物理|447|457|109778|60
生物技术|物理|447|459|109778|66
应用统计学|物理|447|454|109778|80
土木工程|物理|447|452|109778|29
食品科学与工程|物理|448|454|108959|74
设施农业科学与工程|物理|447|452|109778|72
农业资源与环境|物理|449|452|108121|38
化学|物理|448|457|108959|24
材料成型及控制工程|物理|453|459|104762|30
材料化学|物理|447|450|109778|72
金属材料工程|物理|447|453|109778|78
新能源材料与器件|物理|459|472|99829|22
电气工程及其自动化|物理|479|488|83821|82
电子信息工程|物理|462|469|97341|82
计算机科学与技术|物理|458|466|100665|64
网络工程|物理|455|458|103148|36
物联网工程|物理|452|456|105610|86
数据科学与大数据技术|物理|457|463|101461|29
化学工程与工艺|物理|447|462|109778|84
环境科学与工程|物理|447|450|109778|36
